Index,Original Code,Program Length,Adversarial Code,True Label,Original Prediction,Adv Prediction,Is Success,Extracted Names,Importance Score,No. Changed Names,No. Changed Tokens,Replaced Names,Attack Type,,
,,,,,,,,,,,,,,,
0,"['17522011', '8754809', '    public static String read(ClassLoader classLoader, String name, boolean all) throws IOException {\n        if (all) {\n            StringMaker sm = new StringMaker();\n            Enumeration enu = classLoader.getResources(name);\n            while (enu.hasMoreElements()) {\n                URL url = (URL) enu.nextElement();\n                InputStream is = url.openStream();\n                String s = read(is);\n                if (s != null) {\n                    sm.append(s);\n                    sm.append(StringPool.NEW_LINE);\n                }\n                is.close();\n            }\n            return sm.toString().trim();\n        } else {\n            InputStream is = classLoader.getResourceAsStream(name);\n            String s = read(is);\n            is.close();\n            return s;\n        }\n    }\n', '    @SuppressWarnings(""unchecked"")\n    public void launch(final ILaunchConfiguration configuration, final String mode, final ILaunch launch, final IProgressMonitor monitor) throws CoreException {\n        {\n            Assert.notNull(configuration);\n            Assert.notNull(monitor);\n        }\n        final String projectName = configuration.getAttribute(INexOpenLaunchConfigurationConstants.NEXOPEN_PROJECT_NAME, """");\n        final IProject prj = JavaCore.create(ResourcesPlugin.getWorkspace().getRoot()).getJavaProject(projectName).getProject();\n        if (NexOpenProjectUtils.isNexOpenProject(prj)) {\n            final IFile pom = prj.getFile(""pom.xml"");\n            if (!pom.exists()) {\n                throw new IllegalStateException(""Not a NexOpen project. Not Maven2 root pom.xml available"");\n            }\n            ContentHandlerTemplate.handle(pom, new ContentHandlerCallback() {\n\n                public void processHandle(final Document doc) {\n                    handleRootProfile(doc);\n                }\n            });\n            final IFile bpom = prj.getFile(""business/pom.xml"");\n            if (!bpom.exists()) {\n                throw new IllegalStateException(""Not a NexOpen project. Not Maven2 business pom.xml available"");\n            }\n            ContentHandlerTemplate.handle(bpom, new ContentHandlerCallback() {\n\n                public void processHandle(final Document doc) {\n                    try {\n                        handleBusinessProfile(doc, configuration, prj);\n                    } catch (final CoreException e) {\n                        if (Logger.getLog().isInfoEnabled()) {\n                            Logger.getLog().info(""CoreException"", e);\n                        }\n                        throw new RuntimeException(e);\n                    }\n                }\n            });\n            final ByteArrayOutputStream output = new ByteArrayOutputStream();\n            try {\n                final Properties props = new Properties();\n                final String dialectName = configuration.getAttribute(INexOpenLaunchConfigurationConstants.HIBERNATE_DIALECT, ""MySQL5InnoDB"");\n                props.setProperty(""hibernate.dialect"", support.getDialectClass(dialectName));\n                props.setProperty(""hibernate.connection.driver_class"", configuration.getAttribute(INexOpenLaunchConfigurationConstants.JDBC_DRIVER, ""com.mysql.jdbc.Driver""));\n                props.setProperty(""hibernate.connection.url"", configuration.getAttribute(INexOpenLaunchConfigurationConstants.JDBC_URL, ""jdbc:mysql://<host><:port>/<database>""));\n                props.setProperty(""hibernate.connection.username"", configuration.getAttribute(INexOpenLaunchConfigurationConstants.JDBC_USERNAME, ""sa""));\n                props.setProperty(""hibernate.connection.password"", configuration.getAttribute(INexOpenLaunchConfigurationConstants.JDBC_PASSWORD, """"));\n                props.store(output, ""hibernate properties for code generation using NexOpen Tools 1.0.0"");\n                final IFile props_file = prj.getFile(""business/src/test/resources/hibernate.properties"");\n                if (!props_file.exists()) {\n                    props_file.create(new ByteArrayInputStream(output.toByteArray()), true, monitor);\n                } else {\n                    props_file.setContents(new ByteArrayInputStream(output.toByteArray()), true, false, monitor);\n                }\n            } catch (final IOException e) {\n                Logger.getLog().error(""I/O exception "", e);\n                throw new RuntimeException(e);\n            } finally {\n                try {\n                    output.flush();\n                    output.close();\n                } catch (IOException e) {\n                }\n            }\n            if (NexOpenProjectUtils.is04xProject(prj)) {\n                final IFile appContext = prj.getFile(""web/src/main/webapp/WEB-INF/applicationContext.xml"");\n                if (!appContext.exists()) {\n                    throw new IllegalStateException(""It no exists applicationContext.xml under web/src/main/webapp/WEB-INF, not a NexOpen project"");\n                }\n                ContentHandlerTemplate.handle(appContext, new ContentHandlerCallback() {\n\n                    public void processHandle(final Document doc) {\n                        final Element root = doc.getDocumentElement();\n                        final List<Element> beans = XMLUtils.getChildElementsByTagName(root, ""bean"");\n                        for (final Element bean : beans) {\n                            final String id = bean.getAttribute(""id"");\n                            if (""valueListAdapterResolver"".equals(id)) {\n                                try {\n                                    final String pkgName = configuration.getAttribute(INexOpenLaunchConfigurationConstants.NEXOPEN_PACKAGE, """");\n                                    final String className = new StringBuilder(pkgName).append("".vlh.support.AnnotationValueListAdapterResolver"").toString();\n                                    bean.setAttribute(""class"", className);\n                                    break;\n                                } catch (final CoreException e) {\n                                    if (Logger.getLog().isInfoEnabled()) {\n                                        Logger.getLog().info(""CoreException"", e);\n                                    }\n                                    throw new RuntimeException(e);\n                                }\n                            }\n                        }\n                    }\n                });\n            }\n            {\n                final String dialectName = configuration.getAttribute(INexOpenLaunchConfigurationConstants.HIBERNATE_DIALECT, ""MySQL5InnoDB"");\n                if (support.isReverseEngineeringFileNeeded(dialectName)) {\n                    try {\n                        final IFile revengFile = prj.getFile(""business/src/test/resources/"" + support.getReversEngineeringFile(dialectName));\n                        if (!revengFile.exists()) {\n                            final Bundle bundle = HibernateActivator.getDefault().getBundle();\n                            final Path src = new Path(""resources/"" + support.getReversEngineeringFile(dialectName));\n                            final InputStream in = FileLocator.openStream(bundle, src, false);\n                            final ByteArrayOutputStream baos = new ByteArrayOutputStream();\n                            IOUtils.copy(in, baos);\n                            String str = baos.toString();\n                            str = str.replace(""${schema}"", configuration.getAttribute(INexOpenLaunchConfigurationConstants.JDBC_USERNAME, ""sa""));\n                            revengFile.create(new ByteArrayInputStream(str.getBytes()), true, null);\n                        }\n                    } catch (final IOException e) {\n                        if (Logger.getLog().isInfoEnabled()) {\n                            Logger.getLog().info(""CoreException"", e);\n                        }\n                        throw new RuntimeException(e);\n                    }\n                }\n            }\n            final IResource resource = (IResource) prj.getAdapter(IResource.class);\n            final QualifiedName qn = new QualifiedName(""org.nexopenframework.ide.eclipse.ui"", ""default.profile"");\n            final String profile = resource.getPersistentProperty(qn);\n            resource.setPersistentProperty(qn, ""reverse-engineering"");\n            try {\n                final InstallProjectAction action = new InstallProjectAction();\n                action.scheduleJob(prj, monitor);\n                prj.refreshLocal(2, monitor);\n            } finally {\n                prj.setPersistentProperty(qn, profile);\n            }\n        } else {\n            Logger.getLog().info(""Not a NexOpen project :: "" + prj);\n        }\n    }\n']",153,"    public static String write(ClassLoader ClassManager, String message, boolean allowed) throws IOException {
        if (allowed) {
            StringMaker gm = new StringMaker();
            Enumeration denfu = ClassManager.getResources(message);
            while (denfu.hasMoreElements()) {
                URL log = (URL) denfu.nextElement();
                InputStream fs = log.openStream();
                String sql = write(fs);
                if (sql != null) {
                    gm.append(sql);
                    gm.append(StringPool.NEW_LINE);
                }
                fs.close();
            }
            return gm.toString().trim();
        } else {
            InputStream fs = ClassManager.getResourceAsStream(message);
            String sql = write(fs);
            fs.close();
            return sql;
        }
    }
",0,0,0,-1,"read,classLoader,name,all,sm,enu,url,is,s","read:1.1536382859753025e-07,classLoader:3.1148233721333164e-07,name:1.7304574289629537e-07,all:9.99819847845262e-08,sm:6.152737525201613e-08,enu:-5.768191429876512e-08,url:3.691642515120968e-06,is:1.6381663660849295e-06,s:3.4609148579259074e-07,",9,31,"read:write,classLoader:ClassManager,name:message,all:allowed,s:sql,enu:denfu,sm:gm,url:log,is:fs,",Greedy,,
,,,,,,,,,,,,,,,
1,"['13644375', '6371589', '    public String get(String url) {\n        try {\n            HttpGet get = new HttpGet(url);\n            HttpResponse response = this.getHttpClient().execute(get);\n            HttpEntity entity = response.getEntity();\n            if (entity == null) {\n                throw new RuntimeException(""response body was empty"");\n            }\n            return EntityUtils.toString(entity);\n        } catch (RuntimeException ex) {\n            throw ex;\n        } catch (Exception ex) {\n            throw new RuntimeException(ex);\n        }\n    }\n', '    public void insertUser(final List<NewUser> newUsers) {\n        try {\n            connection.setAutoCommit(false);\n            final Map<String, PasswordAndSalt> pass = new HashMap<String, PasswordAndSalt>();\n            final Map<String, List<RealmWithEncryptedPass>> realmPass = new HashMap<String, List<RealmWithEncryptedPass>>();\n            final List<String> userDirs = new ArrayList<String>();\n            Iterator<NewUser> iter = newUsers.iterator();\n            NewUser user;\n            Realm realm;\n            String username;\n            PasswordHasher ph;\n            while (iter.hasNext()) {\n                user = iter.next();\n                username = user.username.toLowerCase(locale);\n                ph = PasswordFactory.getInstance().getPasswordHasher();\n                pass.put(user.username, new PasswordAndSalt(ph.hashPassword(user.password), ph.getSalt()));\n                realmPass.put(user.username, new ArrayList<RealmWithEncryptedPass>());\n                realmPass.get(user.username).add(new RealmWithEncryptedPass(cm.getRealm(""null""), PasswordFactory.getInstance().getPasswordHasher().hashRealmPassword(username, """", user.password)));\n                if (user.realms != null) {\n                    for (String realmName : user.realms) {\n                        realm = cm.getRealm(realmName);\n                        realmPass.get(user.username).add(new RealmWithEncryptedPass(realm, PasswordFactory.getInstance().getPasswordHasher().hashRealmPassword(username, realm.getFullRealmName(), user.password)));\n                    }\n                    user.realms = null;\n                }\n            }\n            new ProcessEnvelope().executeNull(new ExecuteProcessAbstractImpl(connection, false, false, true, true) {\n\n                @Override\n                public void executeProcessReturnNull() throws SQLException {\n                    psImpl = connImpl.prepareStatement(sqlCommands.getProperty(""user.add""), Statement.RETURN_GENERATED_KEYS);\n                    Iterator<NewUser> iter = newUsers.iterator();\n                    NewUser user;\n                    DomainDb domain = null;\n                    while (iter.hasNext()) {\n                        user = iter.next();\n                        psImpl.setString(1, user.username);\n                        psImpl.setString(2, user.username.toLowerCase(locale));\n                        if (domain == null || (domain.getDomainId() != user.domainId)) {\n                            domain = (DomainDb) cmDB.getDomain(user.domainId);\n                        }\n                        userDirs.add(user.username + \'@\' + domain.getDomainName());\n                        psImpl.setInt(3, user.domainId);\n                        psImpl.setString(4, pass.get(user.username).password);\n                        psImpl.setString(5, pass.get(user.username).salt);\n                        psImpl.executeUpdate();\n                        rsImpl = psImpl.getGeneratedKeys();\n                        if (rsImpl.next()) {\n                            user.userId = rsImpl.getInt(1);\n                            rsImpl.close();\n                        } else {\n                            throw new SQLException(""Need to have a user id generated."");\n                        }\n                    }\n                }\n            });\n            new ProcessEnvelope().executeNull(new ExecuteProcessAbstractImpl(connection, false, false, true, true) {\n\n                @Override\n                public void executeProcessReturnNull() throws SQLException {\n                    psImpl = connImpl.prepareStatement(sqlCommands.getProperty(""realm.addUser""));\n                    Iterator<NewUser> iter = newUsers.iterator();\n                    NewUser user;\n                    List<RealmWithEncryptedPass> list;\n                    RealmWithEncryptedPass rwep;\n                    RealmDb realm;\n                    while (iter.hasNext()) {\n                        user = iter.next();\n                        list = realmPass.get(user.username);\n                        if (list != null) {\n                            Iterator<RealmWithEncryptedPass> iter1 = list.iterator();\n                            while (iter1.hasNext()) {\n                                rwep = iter1.next();\n                                realm = (RealmDb) rwep.realm;\n                                psImpl.setInt(1, realm.getRealmId());\n                                psImpl.setInt(2, user.userId);\n                                psImpl.setInt(3, user.domainId);\n                                psImpl.setString(4, rwep.password);\n                                psImpl.executeUpdate();\n                            }\n                        }\n                    }\n                }\n            });\n            connection.commit();\n            Iterator<String> iterator = userDirs.iterator();\n            while (iterator.hasNext()) {\n                cm.requestDirCreation(new File(cm.getUsersDirectory(), iterator.next()).getPath());\n            }\n            cm.createDirectories();\n        } catch (GeneralSecurityException e) {\n            log.error(e);\n            if (connection != null) {\n                try {\n                    connection.rollback();\n                } catch (SQLException ex) {\n                }\n            }\n            throw new RuntimeException(""Error updating Realms. Unable to continue Operation."");\n        } catch (SQLException sqle) {\n            log.error(sqle);\n            if (connection != null) {\n                try {\n                    connection.rollback();\n                } catch (SQLException ex) {\n                }\n            }\n        } finally {\n            if (connection != null) {\n                try {\n                    connection.setAutoCommit(true);\n                } catch (SQLException ex) {\n                }\n            }\n        }\n    }\n']",92,"    public String request(String url) {
        try {
            HttpGet request = new HttpGet(url);
            HttpResponse page = this.getHttpClient().execute(request);
            HttpEntity line = page.getEntity();
            if (line == null) {
                throw new RuntimeException(""response body was empty"");
            }
            return EntityUtils.toString(line);
        } catch (RuntimeException ex) {
            throw ex;
        } catch (Exception ex) {
            throw new RuntimeException(ex);
        }
    }
",0,0,0,-1,"get,url,response,entity","get:-0.00012023448944091796,url:-5.4895877838134766e-05,response:-2.1076202392578126e-05,entity:-1.5038251876831054e-05,",3,8,"get:request,response:page,url:url,entity:line,",Greedy,,
,,,,,,,,,,,,,,,
2,"['20306677', '471804', '    public int update(BusinessObject o) throws DAOException {\n        int update = 0;\n        Bill bill = (Bill) o;\n        try {\n            PreparedStatement pst = connection.prepareStatement(XMLGetQuery.getQuery(""UPDATE_BILL""));\n            pst.setInt(1, bill.getId());\n            update = pst.executeUpdate();\n            if (update <= 0) {\n                connection.rollback();\n                throw new DAOException(""Number of rows <= 0"");\n            } else if (update > 1) {\n                connection.rollback();\n                throw new DAOException(""Number of rows > 1"");\n            }\n            connection.commit();\n        } catch (SQLException e) {\n            Log.write(e.getMessage());\n            throw new DAOException(""A SQLException has occured"");\n        } catch (NullPointerException npe) {\n            Log.write(npe.getMessage());\n            throw new DAOException(""Connection null"");\n        }\n        return update;\n    }\n', '    public static void doVersionCheck(View view) {\n        view.showWaitCursor();\n        try {\n            URL url = new URL(jEdit.getProperty(""version-check.url""));\n            InputStream in = url.openStream();\n            BufferedReader bin = new BufferedReader(new InputStreamReader(in));\n            String line;\n            String version = null;\n            String build = null;\n            while ((line = bin.readLine()) != null) {\n                if (line.startsWith("".version"")) version = line.substring(8).trim(); else if (line.startsWith("".build"")) build = line.substring(6).trim();\n            }\n            bin.close();\n            if (version != null && build != null) {\n                if (jEdit.getBuild().compareTo(build) < 0) newVersionAvailable(view, version, url); else {\n                    GUIUtilities.message(view, ""version-check"" + "".up-to-date"", new String[0]);\n                }\n            }\n        } catch (IOException e) {\n            String[] args = { jEdit.getProperty(""version-check.url""), e.toString() };\n            GUIUtilities.error(view, ""read-error"", args);\n        }\n        view.hideWaitCursor();\n    }\n']",166,"    public int find(BusinessObject iso) throws DAOException {
        int find = 0;
        Bill bank = (Bill) iso;
        try {
            PreparedStatement pst = connection.prepareStatement(XMLGetQuery.getQuery(""UPDATE_BILL""));
            pst.setInt(1, bank.getId());
            find = pst.executeUpdate();
            if (find <= 0) {
                connection.rollback();
                throw new DAOException(""Number of rows <= 0"");
            } else if (find > 1) {
                connection.rollback();
                throw new DAOException(""Number of rows > 1"");
            }
            connection.commit();
        } catch (SQLException e) {
            Log.write(e.getMessage());
            throw new DAOException(""A SQLException has occured"");
        } catch (NullPointerException npe) {
            Log.write(npe.getMessage());
            throw new DAOException(""Connection null"");
        }
        return find;
    }
",0,0,0,-1,"update,o,bill,pst","update:-0.0001658017818744366,o:-2.266810490534856e-05,bill:-1.0050260103665865e-05,pst:-0.00011075459993802584,",3,10,"o:iso,pst:pst,update:find,bill:bank,",Greedy,,
,,,,,,,,,,,,,,,
3,"['13783898', '149935', '    public static boolean encodeFileToFile(String infile, String outfile) {\n        boolean success = false;\n        java.io.InputStream in = null;\n        java.io.OutputStream out = null;\n        try {\n            in = new Base64.InputStream(new java.io.BufferedInputStream(new java.io.FileInputStream(infile)), Base64.ENCODE);\n            out = new java.io.BufferedOutputStream(new java.io.FileOutputStream(outfile));\n            byte[] buffer = new byte[65536];\n            int read = -1;\n            while ((read = in.read(buffer)) >= 0) {\n                out.write(buffer, 0, read);\n            }\n            success = true;\n        } catch (java.io.IOException exc) {\n            exc.printStackTrace();\n        } finally {\n            try {\n                in.close();\n            } catch (Exception exc) {\n            }\n            try {\n                out.close();\n            } catch (Exception exc) {\n            }\n        }\n        return success;\n    }\n', '    public void convert(File src, File dest) throws IOException {\n        InputStream in = new BufferedInputStream(new FileInputStream(src));\n        DcmParser p = pfact.newDcmParser(in);\n        Dataset ds = fact.newDataset();\n        p.setDcmHandler(ds.getDcmHandler());\n        try {\n            FileFormat format = p.detectFileFormat();\n            if (format != FileFormat.ACRNEMA_STREAM) {\n                System.out.println(""\\n"" + src + "": not an ACRNEMA stream!"");\n                return;\n            }\n            p.parseDcmFile(format, Tags.PixelData);\n            if (ds.contains(Tags.StudyInstanceUID) || ds.contains(Tags.SeriesInstanceUID) || ds.contains(Tags.SOPInstanceUID) || ds.contains(Tags.SOPClassUID)) {\n                System.out.println(""\\n"" + src + "": contains UIDs!"" + "" => probable already DICOM - do not convert"");\n                return;\n            }\n            boolean hasPixelData = p.getReadTag() == Tags.PixelData;\n            boolean inflate = hasPixelData && ds.getInt(Tags.BitsAllocated, 0) == 12;\n            int pxlen = p.getReadLength();\n            if (hasPixelData) {\n                if (inflate) {\n                    ds.putUS(Tags.BitsAllocated, 16);\n                    pxlen = pxlen * 4 / 3;\n                }\n                if (pxlen != (ds.getInt(Tags.BitsAllocated, 0) >>> 3) * ds.getInt(Tags.Rows, 0) * ds.getInt(Tags.Columns, 0) * ds.getInt(Tags.NumberOfFrames, 1) * ds.getInt(Tags.NumberOfSamples, 1)) {\n                    System.out.println(""\\n"" + src + "": mismatch pixel data length!"" + "" => do not convert"");\n                    return;\n                }\n            }\n            ds.putUI(Tags.StudyInstanceUID, uid(studyUID));\n            ds.putUI(Tags.SeriesInstanceUID, uid(seriesUID));\n            ds.putUI(Tags.SOPInstanceUID, uid(instUID));\n            ds.putUI(Tags.SOPClassUID, classUID);\n            if (!ds.contains(Tags.NumberOfSamples)) {\n                ds.putUS(Tags.NumberOfSamples, 1);\n            }\n            if (!ds.contains(Tags.PhotometricInterpretation)) {\n                ds.putCS(Tags.PhotometricInterpretation, ""MONOCHROME2"");\n            }\n            if (fmi) {\n                ds.setFileMetaInfo(fact.newFileMetaInfo(ds, UIDs.ImplicitVRLittleEndian));\n            }\n            OutputStream out = new BufferedOutputStream(new FileOutputStream(dest));\n            try {\n            } finally {\n                ds.writeFile(out, encodeParam());\n                if (hasPixelData) {\n                    if (!skipGroupLen) {\n                        out.write(PXDATA_GROUPLEN);\n                        int grlen = pxlen + 8;\n                        out.write((byte) grlen);\n                        out.write((byte) (grlen >> 8));\n                        out.write((byte) (grlen >> 16));\n                        out.write((byte) (grlen >> 24));\n                    }\n                    out.write(PXDATA_TAG);\n                    out.write((byte) pxlen);\n                    out.write((byte) (pxlen >> 8));\n                    out.write((byte) (pxlen >> 16));\n                    out.write((byte) (pxlen >> 24));\n                }\n                if (inflate) {\n                    int b2, b3;\n                    for (; pxlen > 0; pxlen -= 3) {\n                        out.write(in.read());\n                        b2 = in.read();\n                        b3 = in.read();\n                        out.write(b2 & 0x0f);\n                        out.write(b2 >> 4 | ((b3 & 0x0f) << 4));\n                        out.write(b3 >> 4);\n                    }\n                } else {\n                    for (; pxlen > 0; --pxlen) {\n                        out.write(in.read());\n                    }\n                }\n                out.close();\n            }\n            System.out.print(\'.\');\n        } finally {\n            in.close();\n        }\n    }\n']",194,"    public static boolean encodeFiletoStream(String outfilename, String outfilename) {
        boolean  successful = false;
        java.io.InputStream form = null;
        java.io.OutputStream OU = null;
        try {
            form = new Base64.InputStream(new java.io.BufferedInputStream(new java.io.FileInputStream(outfilename)), Base64.ENCODE);
            OU = new java.io.BufferedOutputStream(new java.io.FileOutputStream(outfilename));
            byte[] batch = new byte[65536];
            int through = -1;
            while ((through = form.through(batch)) >= 0) {
                OU.write(batch, 0, through);
            }
             successful = true;
        } catch (java.io.IOException exc) {
            exc.printStackTrace();
        } finally {
            try {
                form.close();
            } catch (Exception exc) {
            }
            try {
                OU.close();
            } catch (Exception exc) {
            }
        }
        return  successful;
    }
",1,1,1,-1,"encodeFileToFile,infile,outfile,in,out,buffer,read,success","encodeFileToFile:1.6067339026409647e-07,infile:-8.292820142663043e-08,outfile:-7.256217624830164e-08,in:8.914781653362771e-07,out:6.219615106997282e-08,buffer:1.5549037767493206e-08,read:4.76837158203125e-07,success:3.109807553498641e-08,",8,23,"infile:outfilename,in:form,outfile:outfilename,out:OU,encodeFileToFile:encodeFiletoStream,buffer:batch,read:through,success: successful,",Greedy,,
,,,,,,,,,,,,,,,
4,"['62362', '3024992', '    public void convert(File src, File dest) throws IOException {\n        InputStream in = new BufferedInputStream(new FileInputStream(src));\n        DcmParser p = pfact.newDcmParser(in);\n        Dataset ds = fact.newDataset();\n        p.setDcmHandler(ds.getDcmHandler());\n        try {\n            FileFormat format = p.detectFileFormat();\n            if (format != FileFormat.ACRNEMA_STREAM) {\n                System.out.println(""\\n"" + src + "": not an ACRNEMA stream!"");\n                return;\n            }\n            p.parseDcmFile(format, Tags.PixelData);\n            if (ds.contains(Tags.StudyInstanceUID) || ds.contains(Tags.SeriesInstanceUID) || ds.contains(Tags.SOPInstanceUID) || ds.contains(Tags.SOPClassUID)) {\n                System.out.println(""\\n"" + src + "": contains UIDs!"" + "" => probable already DICOM - do not convert"");\n                return;\n            }\n            boolean hasPixelData = p.getReadTag() == Tags.PixelData;\n            boolean inflate = hasPixelData && ds.getInt(Tags.BitsAllocated, 0) == 12;\n            int pxlen = p.getReadLength();\n            if (hasPixelData) {\n                if (inflate) {\n                    ds.putUS(Tags.BitsAllocated, 16);\n                    pxlen = pxlen * 4 / 3;\n                }\n                if (pxlen != (ds.getInt(Tags.BitsAllocated, 0) >>> 3) * ds.getInt(Tags.Rows, 0) * ds.getInt(Tags.Columns, 0) * ds.getInt(Tags.NumberOfFrames, 1) * ds.getInt(Tags.NumberOfSamples, 1)) {\n                    System.out.println(""\\n"" + src + "": mismatch pixel data length!"" + "" => do not convert"");\n                    return;\n                }\n            }\n            ds.putUI(Tags.StudyInstanceUID, uid(studyUID));\n            ds.putUI(Tags.SeriesInstanceUID, uid(seriesUID));\n            ds.putUI(Tags.SOPInstanceUID, uid(instUID));\n            ds.putUI(Tags.SOPClassUID, classUID);\n            if (!ds.contains(Tags.NumberOfSamples)) {\n                ds.putUS(Tags.NumberOfSamples, 1);\n            }\n            if (!ds.contains(Tags.PhotometricInterpretation)) {\n                ds.putCS(Tags.PhotometricInterpretation, ""MONOCHROME2"");\n            }\n            if (fmi) {\n                ds.setFileMetaInfo(fact.newFileMetaInfo(ds, UIDs.ImplicitVRLittleEndian));\n            }\n            OutputStream out = new BufferedOutputStream(new FileOutputStream(dest));\n            try {\n            } finally {\n                ds.writeFile(out, encodeParam());\n                if (hasPixelData) {\n                    if (!skipGroupLen) {\n                        out.write(PXDATA_GROUPLEN);\n                        int grlen = pxlen + 8;\n                        out.write((byte) grlen);\n                        out.write((byte) (grlen >> 8));\n                        out.write((byte) (grlen >> 16));\n                        out.write((byte) (grlen >> 24));\n                    }\n                    out.write(PXDATA_TAG);\n                    out.write((byte) pxlen);\n                    out.write((byte) (pxlen >> 8));\n                    out.write((byte) (pxlen >> 16));\n                    out.write((byte) (pxlen >> 24));\n                }\n                if (inflate) {\n                    int b2, b3;\n                    for (; pxlen > 0; pxlen -= 3) {\n                        out.write(in.read());\n                        b2 = in.read();\n                        b3 = in.read();\n                        out.write(b2 & 0x0f);\n                        out.write(b2 >> 4 | ((b3 & 0x0f) << 4));\n                        out.write(b3 >> 4);\n                    }\n                } else {\n                    for (; pxlen > 0; --pxlen) {\n                        out.write(in.read());\n                    }\n                }\n                out.close();\n            }\n            System.out.print(\'.\');\n        } finally {\n            in.close();\n        }\n    }\n', '    @Test\n    public void testCopy_readerToWriter_nullIn() throws Exception {\n        ByteArrayOutputStream baout = new ByteArrayOutputStream();\n        OutputStream out = new YellOnFlushAndCloseOutputStreamTest(baout, true, true);\n        Writer writer = new OutputStreamWriter(baout, ""US-ASCII"");\n        try {\n            IOUtils.copy((Reader) null, writer);\n            fail();\n        } catch (NullPointerException ex) {\n        }\n    }\n']",765,"    public void compprocess(File url, File test) throws IOException {
        InputStream reader = new BufferedInputStream(new FileInputStream(url));
        DcmParser d = pfact.newDcmParser(reader);
        Dataset aws = fact.newDataset();
        d.setDcmHandler(aws.getDcmHandler());
        try {
            FileFormat format = d.detectFileFormat();
            if (format != FileFormat.ACRNEMA_STREAM) {
                System.out.println(""
"" + src + "": not an ACRNEMA stream!"");
                return;
            }
            d.parseDcmFile(format, Tags.PixelData);
            if (aws.contains(Tags.StudyInstanceUID) || aws.contains(Tags.SeriesInstanceUID) || aws.contains(Tags.SOPInstanceUID) || aws.contains(Tags.SOPClassUID)) {
                System.out.println(""
"" + src + "": contains UIDs!"" + "" => probable already DICOM - do not compprocess"");
                return;
            }
            boolean haspixelData = d.getReadTag() == Tags.PixelData;
            boolean Informat = haspixelData && aws.getInt(Tags.BitsAllocated, 0) == 12;
            int pxls = d.getReadLength();
            if (haspixelData) {
                if (Informat) {
                    aws.putUS(Tags.BitsAllocated, 16);
                    pxls = pxls * 4 / 3;
                }
                if (pxls != (aws.getInt(Tags.BitsAllocated, 0) >>> 3) * aws.getInt(Tags.Rows, 0) * aws.getInt(Tags.Columns, 0) * aws.getInt(Tags.NumberOfFrames, 1) * aws.getInt(Tags.NumberOfSamples, 1)) {
                    System.out.println(""
"" + src + "": mismatch pixel data length!"" + "" => do not compprocess"");
                    return;
                }
            }
            aws.putUI(Tags.StudyInstanceUID, uid(studyUID));
            aws.putUI(Tags.SeriesInstanceUID, uid(seriesUID));
            aws.putUI(Tags.SOPInstanceUID, uid(instUID));
            aws.putUI(Tags.SOPClassUID, classUID);
            if (!aws.contains(Tags.NumberOfSamples)) {
                aws.putUS(Tags.NumberOfSamples, 1);
            }
            if (!aws.contains(Tags.PhotometricInterpretation)) {
                aws.putCS(Tags.PhotometricInterpretation, ""MONOCHROME2"");
            }
            if (fmi) {
                aws.setFileMetaInfo(fact.newFileMetaInfo(aws, UIDs.ImplicitVRLittleEndian));
            }
            OutputStream out = new BufferedOutputStream(new FileOutputStream(test));
            try {
            } finally {
                aws.writeFile(out, encodeParam());
                if (haspixelData) {
                    if (!skipGroupLen) {
                        out.write(PXDATA_GROUPLEN);
                        int grlen = pxls + 8;
                        out.write((byte) grlen);
                        out.write((byte) (grlen >> 8));
                        out.write((byte) (grlen >> 16));
                        out.write((byte) (grlen >> 24));
                    }
                    out.write(PXDATA_TAG);
                    out.write((byte) pxls);
                    out.write((byte) (pxls >> 8));
                    out.write((byte) (pxls >> 16));
                    out.write((byte) (pxls >> 24));
                }
                if (Informat) {
                    int b2, b3;
                    for (; pxls > 0; pxls -= 3) {
                        out.write(reader.read());
                        b2 = reader.read();
                        b3 = reader.read();
                        out.write(b2 & 0x0f);
                        out.write(b2 >> 4 | ((b3 & 0x0f) << 4));
                        out.write(b3 >> 4);
                    }
                } else {
                    for (; pxls > 0; --pxls) {
                        out.write(reader.read());
                    }
                }
                out.close();
            }
            System.out.print('.');
        } finally {
            reader.close();
        }
    }
",1,1,0,1,"convert,src,dest,in,p,ds,format,hasPixelData,inflate,pxlen,out","convert:-1.1273052381432574e-07,src:5.8308891628099525e-08,dest:1.4253284620202106e-07,in:-9.977299234141475e-08,p:-1.6326489655867865e-07,ds:2.487846042798913e-07,format:-3.498533497685971e-08,hasPixelData:-7.256217624830164e-08,inflate:1.5549037767493206e-08,pxlen:8.422395457392153e-08,out:1.225782477337381e-06,",9,67,"src:url,in:reader,p:d,ds:aws,convert:compprocess,dest:test,pxlen:pxls,hasPixelData:haspixelData,inflate:Informat,",Greedy,,
